sale_id,sale_date,store_id,product_id,quantity
1,2023-11-23,4,6,1
2,2021-08-23,15,1,1
3,2023-02-23,6,1,1
4,2023-06-08,8,12,3
5,2021-11-13,3,13,1
6,2021-09-17,12,3,2
7,2023-01-27,2,6,1
8,2022-05-05,2,2,1
9,2023-08-10,3,6,1
10,2023-10-09,9,1,1
11,2023-08-20,8,16,1
12,2023-11-02,10,10,1
13,2021-01-19,3,13,1
14,2023-05-11,2,1,5
15,2022-10-11,4,18,1
16,2021-07-14,1,2,2
17,2022-06-21,14,10,4
18,2022-07-09,11,2,3
19,2022-06-08,11,15,1
20,2022-05-07,9,10,1
21,2021-07-23,1,5,3
22,2021-09-13,2,2,1
23,2022-05-24,1,6,2
24,2022-02-04,6,6,1
25,2021-06-13,10,7,1
26,2021-05-05,2,19,5
27,2021-04-08,2,3,1
28,2023-04-09,8,6,1
29,2023-04-06,13,13,2
30,2023-12-08,14,3,1
31,2022-01-25,1,15,1
32,2023-11-26,5,4,1
33,2022-08-26,13,15,1
34,2022-07-01,8,18,1
35,2023-04-22,2,9,1
36,2022-05-28,11,2,2
37,2023-04-27,1,5,1
38,2023-06-10,15,13,1
39,2021-03-16,7,1,1
40,2023-11-01,3,6,1
41,2021-05-20,8,9,1
42,2023-06-09,2,19,1
43,2023-08-10,1,3,1
44,2021-07-23,9,18,1
45,2021-04-26,12,1,1
46,2023-01-15,2,12,1
47,2022-09-04,1,1,1
48,2021-09-27,2,19,1
49,2022-05-23,1,3,1
50,2022-01-19,2,8,1
51,2022-10-19,11,3,1
52,2021-05-23,7,1,1
53,2022-11-14,8,7,1
54,2021-11-14,1,16,2
55,2022-10-14,5,14,1
56,2023-03-18,11,3,1
57,2023-05-15,14,8,1
58,2021-12-23,1,6,1
59,2023-04-01,15,12,2
60,2023-11-14,4,17,1
61,2022-03-20,2,6,5
62,2021-12-26,5,6,1
63,2022-03-16,7,12,2
64,2022-12-08,13,5,1
65,2022-04-13,8,4,1
66,2022-06-23,7,2,2
67,2022-01-04,2,1,1
68,2022-10-18,2,12,1
69,2022-04-08,9,9,1
70,2021-08-01,3,6,1
71,2023-11-10,1,7,1
72,2022-03-08,2,4,1
73,2022-04-02,11,15,2
74,2022-09-17,1,20,1
75,2022-07-04,10,4,3
76,2022-06-27,12,5,1
77,2022-11-22,4,7,3
78,2023-03-21,7,2,2
79,2023-12-24,11,19,1
80,2022-11-07,1,1,1
81,2023-01-21,3,18,
82,2021-03-18,9,1,1
83,2022-02-03,10,12,1
84,2021-12-01,14,5,1
85,2021-09-08,13,11,3
86,2022-06-25,15,1,1
87,2023-04-23,9,9,1
88,2021-08-19,4,9,2
89,2022-12-18,5,3,4
90,2021-12-08,9,10,1
91,2021-12-09,12,4,2
92,2021-09-19,9,2,1
93,2021-09-03,13,9,5
94,2023-01-18,9,16,1
95,2021-05-21,2,1,1
96,2021-11-22,5,9,1
97,2021-03-21,13,16,1
98,2023-01-09,13,7,1
99,2021-12-04,2,4,1
100,2021-07-11,10,10,1
